1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	1
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	1
26	0
27	0
28	0
29	0
30	1
31	1
32	0
33	0
34	0
35	2
36	3
37	0
38	0
39	0
40	1
41	0
42	0
43	2
44	0
45	0
46	1
47	4
48	2
49	2
50	2
51	2
52	2
53	0
54	3
55	4
56	4
57	2
58	2
59	3
60	4
61	3
62	2
63	1
64	4
65	4
66	6
67	4
68	3
69	6
70	11
71	15
72	7
73	13
74	7
75	15
76	15
77	17
78	23
79	17
80	15
81	6
82	7
83	9
84	20
85	18
86	15
87	19
88	16
89	3
90	7
91	18
92	24
93	18
94	19
95	26
96	13
97	8
98	19
99	30
100	34
101	33
102	30
103	22
104	11
105	24
106	43
107	36
108	27
109	37
110	23
111	17
112	42
113	42
114	33
115	45
116	59
117	26
118	21
119	49
120	36
121	42
122	48
123	48
124	30
125	33
126	76
127	49
128	48
129	43
130	50
131	45
132	25
133	61
134	57
135	63
136	53
137	60
138	43
139	18
140	78
141	65
142	43
143	59
144	79
145	42
146	31
147	75
148	53
149	64
150	66
151	60
152	52
153	39
154	79
155	73
156	85
157	68
158	81
159	31
160	31
161	84
162	60
163	51
164	54
165	64
166	38
167	28
168	68
169	65
170	60
171	50
172	49
173	44
174	38
175	69
176	56
177	73
178	69
179	55
180	39
181	25
182	55
183	59
184	50
185	35
186	47
187	31
188	22
189	86
190	52
191	55
192	39
193	31
194	21
195	25
196	46
197	61
198	38
199	48
200	30
201	20
202	21
203	58
204	44
205	39
206	32
207	28
208	12
209	29
210	47
211	22
212	19
213	50
214	42
215	26
216	21
217	45
218	43
219	34
220	45
221	20
222	15
223	13
224	40
225	39
226	24
227	37
228	24
229	10
230	16
231	35
232	20
233	25
234	25
235	34
236	15
237	17
238	29
239	32
240	21
241	27
242	26
243	16
244	12
245	35
246	32
247	21
248	15
249	10
250	8
251	12
252	23
253	31
254	21
255	12
256	14
257	8
258	9
259	22
260	25
261	17
262	25
263	17
264	14
265	11
266	18
267	28
268	18
269	14
270	19
271	8
272	5
273	7
274	20
275	17
276	17
277	13
278	5
279	19
280	24
281	33
282	18
283	20
284	21
285	12
286	8
287	22
288	21
289	29
290	29
291	16
292	12
293	11
294	25
295	14
296	27
297	20
298	23
299	11
300	8
301	32
302	28
303	14
304	18
305	28
306	11
307	11
308	32
309	20
310	20
311	21
312	11
313	18
314	19
315	47
316	36
317	37
318	29
319	17
320	26
321	25
322	79
323	59
324	57
325	59
326	68
327	51
328	41
329	96
330	92
331	98
332	88
333	72
334	62
335	43
336	85
337	108
338	111
339	109
340	98
341	59
342	36
343	101
344	92
345	98
346	79
347	45
348	39
349	28
350	23
351	43
352	61
353	39
354	40
355	29
356	20
357	41
358	42
359	37
360	28
361	34
362	19
363	13
364	25
365	24
366	27
367	26
368	31
369	11
370	6
371	26
372	33
373	32
374	36
375	18
376	10
377	7
378	25
379	24
380	12
381	16
382	25
383	12
384	9
385	24
386	20
387	22
388	20
389	18
390	10
391	15
392	4
393	23
394	18
395	14
396	13
397	14
398	5
399	19
400	10
401	17
402	8
403	5
404	4
405	5
406	15
407	13
408	6
409	10
410	10
411	5
412	10
413	23
414	26
415	20
416	24
417	18
418	13
419	12
420	19
421	19
422	18
423	15
424	17
425	7
426	6
427	28
428	16
429	11
430	20
431	17
432	7
433	4
434	20
435	12
436	20
437	15
438	27
439	10
440	15
441	19
442	20
443	17
444	24
445	18
446	5
447	3
448	13
449	16
450	9
451	8
452	20
453	8
454	3
455	17
456	26
457	24
458	14
459	15
460	11
461	6
462	21
463	12
464	13
465	9
466	8
467	6
468	14
469	19
470	12
471	17
472	11
473	14
474	7
475	1
476	21
477	19
478	20
479	13
480	28
481	8
482	5
483	26
484	28
485	14
486	19
487	28
488	12
489	2
490	32
491	19
492	18
493	22
494	30
495	10
496	9
497	40
498	60
499	40
500	46
501	63
502	36
503	21
504	85
505	105
506	106
507	118
508	116
509	54
510	55
511	138
512	159
513	247
514	245
515	260
516	103
517	114
518	408
519	415
520	392
521	468
522	535
523	217
524	215
525	552
526	564
527	445
528	405
529	336
530	179
531	173
532	544
533	602
534	500
535	511
536	437
537	164
538	220
539	581
540	438
541	483
542	425
543	357
544	164
545	153
546	357
547	284
548	150
549	0
